ID	Position	Name	Salary	Opponent	Team	Venue	Minutes	SeasonAvgMins	Metric	Modifier	Value	MetricName	MetricFrom	DefenseMultiplier	PositionRank	Include	Exclude
26361	1	Bayless, Jerryd	4400	Orlando Magic	Milwaukee Bucks	Home	30.15	30.27	23.33	1.000000	0.530227	FirstOne2	2015-11-25	0.8899	1	1	0
26422	1	Knight, Brandon	7900	Golden State Warriors	Phoenix Suns	Visitor	37.00	35.33	40.93	1.000000	0.518101	FirstOne2	2015-11-25	0.9814	2	0	0
26389	1	Smith, Ishmael	6600	Los Angeles Clippers	New Orleans Pelicans	Home	30.22	28.15	34.14	1.000000	0.517272	FirstOne2	2015-11-25	1.1025	3	0	0
26006	1	Parker, Tony	5700	Denver Nuggets	San Antonio Spurs	Home	30.43	28.13	28.43	1.000000	0.498771	FirstOne2	2015-11-25	0.9888	4	0	0
26429	1	Rondo, Rajon	8500	Minnesota Timberwolves	Sacramento Kings	Visitor	39.10	36.07	42.33	1.000000	0.498000	FirstOne2	2015-11-25	1.0654	5	0	0
26311	1	Dellavedova, Matthew	4400	Charlotte Hornets	Cleveland Cavaliers	Home	26.69	26.21	21.03	1.000000	0.477954	FirstOne2	2015-11-23	0.9146	6	0	0
26432	1	Westbrook, Russell	11600	Detroit Pistons	Oklahoma City Thunder	Visitor	33.81	34.19	54.84	1.000000	0.472758	FirstOne2	2015-11-25	1.0358	7	0	0
26313	1	Calderon, Jose	4600	Miami Heat	New York Knicks	Visitor	28.94	25.81	20.98	1.000000	0.456086	FirstOne2	2015-11-25	0.9394	8	0	0
26329	1	Canaan, Isaiah	4100	Houston Rockets	Philadelphia 76ers	Home	25.76	24.81	18.63	1.000000	0.454390	FirstOne2	2015-11-25	1.0036	9	0	0
26414	1	Thomas, Isaiah	7300	Washington Wizards	Boston Celtics	Visitor	30.56	30.00	33.15	1.000000	0.454109	FirstOne2	2015-11-25	0.8405	10	0	0
26408	1	Conley, Mike	7000	Atlanta Hawks	Memphis Grizzlies	Visitor	31.78	31.44	31.76	1.000000	0.453714	FirstOne2	2015-11-25	1.1124	11	0	0
26417	1	Walker, Kemba	8200	Cleveland Cavaliers	Charlotte Hornets	Visitor	36.33	33.53	36.56	1.000000	0.445853	FirstOne2	2015-11-25	0.9023	12	0	0
26378	1	Mudiay, Emmanuel	6000	San Antonio Spurs	Denver Nuggets	Visitor	28.51	29.47	25.83	1.000000	0.430500	FirstOne2	2015-11-24	1.1272	13	0	0
26298	1	Collison, Darren	5100	Minnesota Timberwolves	Sacramento Kings	Visitor	27.40	28.30	21.93	1.000000	0.430000	FirstOne2	2015-11-25	1.0654	14	0	0
25652	1	Curry, Stephen	10900	Phoenix Suns	Golden State Warriors	Home	33.66	34.25	46.86	1.000000	0.429908	FirstOne2	2015-11-24	1.1074	15	0	0
26383	1	Payton, Elfrid	6500	Milwaukee Bucks	Orlando Magic	Visitor	31.46	30.64	27.54	1.000000	0.423692	FirstOne2	2015-11-25	1.0012	16	0	0
26294	1	Chalmers, Mario	4500	Atlanta Hawks	Memphis Grizzlies	Visitor	20.17	19.69	19.01	1.000000	0.422444	FirstOne2	2015-11-25	1.1124	17	0	0
26390	1	Teague, Jeff	7200	Memphis Grizzlies	Atlanta Hawks	Home	28.86	29.71	30.18	1.000000	0.419166	FirstOne2	2015-11-25	1.0654	18	0	0
26398	1	Paul, Chris	8900	New Orleans Pelicans	Los Angeles Clippers	Visitor	31.44	31.50	37.21	1.000000	0.418089	FirstOne2	2015-11-25	1.0630	19	0	0
26324	1	Williams, Maurice	6100	Charlotte Hornets	Cleveland Cavaliers	Home	30.57	30.75	25.20	1.000000	0.413114	FirstOne2	2015-11-25	0.9146	20	0	0
25890	1	Smart, Marcus	5300	Washington Wizards	Boston Celtics	Visitor	27.30	28.56	21.87	1.000000	0.412641	FirstOne2	2015-11-20	0.8405	21	0	0
26352	1	Schroder, Dennis	4600	Memphis Grizzlies	Atlanta Hawks	Home	21.63	23.12	18.95	1.000000	0.411956	FirstOne2	2015-11-25	1.0654	22	0	0
26368	1	McConnell, T.J.	5000	Houston Rockets	Philadelphia 76ers	Home	26.00	27.63	20.40	1.000000	0.408000	FirstOne2	2015-11-25	1.0036	23	0	0
26349	1	Rubio, Ricky	7100	Sacramento Kings	Minnesota Timberwolves	Home	28.62	29.45	28.92	1.000000	0.407323	FirstOne2	2015-11-25	1.0976	24	0	0
26296	1	Vasquez, Greivis	3800	Orlando Magic	Milwaukee Bucks	Home	20.08	22.60	15.47	1.000000	0.407105	FirstOne2	2015-11-25	0.8899	25	0	0
